_id,date,deaths_total,death_covid,death_covid_contrib,death_unknown_missing
1,2020-04-01T00:00:00,17,12,2,3
2,2020-04-02T00:00:00,30,24,2,4
3,2020-04-03T00:00:00,21,14,2,5
4,2020-04-04T00:00:00,30,23,2,5
5,2020-04-05T00:00:00,28,19,3,6
6,2020-04-06T00:00:00,30,22,5,3
7,2020-04-07T00:00:00,35,27,6,2
8,2020-04-08T00:00:00,38,29,5,4
9,2020-04-09T00:00:00,42,29,6,7
10,2020-04-10T00:00:00,37,31,3,3
11,2020-04-11T00:00:00,44,32,8,4
12,2020-04-12T00:00:00,46,33,7,6
13,2020-04-13T00:00:00,50,32,6,12
14,2020-04-14T00:00:00,46,33,8,5
15,2020-04-15T00:00:00,61,42,7,12
16,2020-04-16T00:00:00,55,37,8,10
17,2020-04-17T00:00:00,54,34,10,10
18,2020-04-18T00:00:00,57,33,14,10
19,2020-04-19T00:00:00,87,68,8,11
20,2020-04-20T00:00:00,57,37,9,11
21,2020-04-21T00:00:00,65,48,11,6
22,2020-04-22T00:00:00,69,49,12,8
23,2020-04-23T00:00:00,59,42,7,10
24,2020-04-24T00:00:00,62,46,10,6
25,2020-04-25T00:00:00,68,38,17,13
26,2020-04-26T00:00:00,65,49,7,9
27,2020-04-27T00:00:00,68,47,16,5
28,2020-04-28T00:00:00,48,28,13,7
29,2020-04-29T00:00:00,68,46,14,8
30,2020-04-30T00:00:00,63,44,11,8
31,2020-05-01T00:00:00,65,49,13,3
32,2020-05-02T00:00:00,52,36,12,4
33,2020-05-03T00:00:00,71,46,15,10
34,2020-05-04T00:00:00,47,35,4,8
35,2020-05-05T00:00:00,41,28,11,2
36,2020-05-06T00:00:00,43,29,8,6
37,2020-05-07T00:00:00,44,28,11,5
38,2020-05-08T00:00:00,40,29,6,5
39,2020-05-09T00:00:00,40,24,9,7
40,2020-05-10T00:00:00,41,25,12,4
41,2020-05-11T00:00:00,38,28,6,4
42,2020-05-12T00:00:00,35,21,11,3
43,2020-05-13T00:00:00,29,23,4,2
44,2020-05-14T00:00:00,26,19,4,3
45,2020-05-15T00:00:00,32,23,7,2
46,2020-05-16T00:00:00,31,22,6,3
47,2020-05-17T00:00:00,26,19,7,0
48,2020-05-18T00:00:00,26,20,2,4
49,2020-05-19T00:00:00,26,17,6,3
50,2020-05-20T00:00:00,19,14,4,1
51,2020-05-21T00:00:00,26,17,7,2
52,2020-05-22T00:00:00,20,18,1,1
53,2020-05-23T00:00:00,25,16,5,4
54,2020-05-24T00:00:00,25,18,4,3
55,2020-05-25T00:00:00,30,21,4,5
56,2020-05-26T00:00:00,39,30,6,3
57,2020-05-27T00:00:00,27,20,2,5
58,2020-05-28T00:00:00,19,14,1,4
59,2020-05-29T00:00:00,25,20,4,1
60,2020-05-30T00:00:00,19,15,3,1
61,2020-05-31T00:00:00,10,9,1,0
62,2020-06-01T00:00:00,12,9,2,1
63,2020-06-02T00:00:00,10,8,2,0
64,2020-06-03T00:00:00,16,9,3,4
65,2020-06-04T00:00:00,18,9,8,1
66,2020-06-05T00:00:00,17,9,5,3
67,2020-06-06T00:00:00,9,8,1,0
68,2020-06-07T00:00:00,9,9,0,0
69,2020-06-08T00:00:00,7,4,1,2
70,2020-06-09T00:00:00,15,11,2,2
71,2020-06-10T00:00:00,5,5,0,0
72,2020-06-11T00:00:00,6,4,1,1
73,2020-06-12T00:00:00,6,2,2,2
74,2020-06-13T00:00:00,11,10,0,1
75,2020-06-14T00:00:00,10,6,4,0
76,2020-06-15T00:00:00,7,5,1,1
77,2020-06-16T00:00:00,4,4,0,0
78,2020-06-17T00:00:00,3,2,1,0
79,2020-06-18T00:00:00,5,4,1,0
